class, acc_train, acc_dev, loss, val_loss, epochs_run, Fscore, precision, recall
vocalic, 0.8304416537284851, 0.8666555881500244, 0.3697674870491028, 0.3043084740638733, 10, 0.8662771730326558, 0.8680304354203284, 0.8658843873517786
consonantal, 0.8094127178192139, 0.8423454165458679, 0.41071194410324097, 0.35230666399002075, 10, 0.8464082933419316, 0.8509862697358475, 0.8445240447957839
back, 0.8657723665237427, 0.8921542763710022, 0.30697956681251526, 0.24605236947536469, 10, 0.8985763653659201, 0.9084901320878122, 0.8953227931488801
anterior, 0.8690885901451111, 0.8905252814292908, 0.29941514134407043, 0.23330704867839813, 10, 0.9023249445813166, 0.9220478592653477, 0.8956192358366272
open, 0.82980877161026, 0.8695977330207825, 0.3696000277996063, 0.29476866126060486, 10, 0.869568932522825, 0.8771223529675725, 0.8675724637681159
close, 0.8369911909103394, 0.8543134927749634, 0.3585386872291565, 0.29904913902282715, 10, 0.8884828220249488, 0.9353122666958268, 0.8667407773386034
nasal, 0.8695136904716492, 0.8818567395210266, 0.2995738983154297, 0.24959944188594818, 10, 0.9103390485080322, 0.9552380276320781, 0.8874752964426877
stop, 0.831150233745575, 0.852734386920929, 0.3835223317146301, 0.32389211654663086, 10, 0.8786465655231214, 0.9173098714617285, 0.8616683135704875
target_vowels, 0.8965693116188049, 0.9330535531044006, 0.2544660270214081, 0.18356285989284515, 10, 0.9367027443684873, 0.9505742426016296, 0.9311017786561265
target_plosives, 0.8856267333030701, 0.8951130509376526, 0.271469384431839, 0.23469318449497223, 10, 0.9160287888021915, 0.9495134778714279, 0.9008399209486166
non_target_plosives, 0.808822512626648, 0.8430103063583374, 0.40754854679107666, 0.34244415163993835, 10, 0.8973675126051077, 0.9623680486638333, 0.8571557971014493
continuant, 0.8379319310188293, 0.8544713854789734, 0.387790709733963, 0.32047954201698303, 10, 0.8816286197857183, 0.917720373313077, 0.8655550065876153
lateral, 0.8050424456596375, 0.8485538363456726, 0.4027685225009918, 0.38322097063064575, 10, 0.8968504424913253, 0.9574327178031345, 0.859864953886693
flap, 0.7785021662712097, 0.8158909678459167, 0.44636836647987366, 0.38483744859695435, 10, 0.8774097359204599, 0.9636678951116865, 0.8238883399209486
trill, 0.9174109697341919, 0.9348986148834229, 0.24461008608341217, 0.19821037352085114, 10, 0.9647154134060081, 0.9951561017327267, 0.939451581027668
voice, 0.8796634674072266, 0.9029837250709534, 0.2931601405143738, 0.2385692596435547, 10, 0.9049400934342922, 0.9057489642469706, 0.9047019104084322
strident, 0.9194657206535339, 0.917918860912323, 0.22499683499336243, 0.187103733420372, 10, 0.9352555785515513, 0.9590603996331942, 0.924703557312253
labial, 0.8136686086654663, 0.8455701470375061, 0.3826695382595062, 0.30980244278907776, 10, 0.8841398785361575, 0.9507667022413699, 0.8487648221343873
dental, 0.8365080952644348, 0.8692653179168701, 0.3643105626106262, 0.2939046621322632, 10, 0.910191262504526, 0.9581611856240559, 0.8831439393939394
velar, 0.8506420850753784, 0.8671209812164307, 0.3606109619140625, 0.3063775300979614, 10, 0.9072724341934691, 0.9650745822736663, 0.8724390645586297
pause, 0.944500207901001, 0.9521858096122742, 0.13290561735630035, 0.11838150769472122, 10, 0.9549095184889065, 0.9579266445949671, 0.9539608036890646
